encoding,fold,seed,baseline_status,fix_status,baseline_dataset_id,fix_dataset_id,baseline_val_size,fix_val_size,baseline_val_idx_hash,fix_val_idx_hash,baseline_best_val_acc,fix_best_val_acc,baseline_best_val_loss,fix_best_val_loss,baseline_best_epoch,fix_best_epoch,baseline_best_val_acc_batchmean_unscaled,fix_best_val_acc_batchmean_unscaled,baseline_best_val_loss_batchmean_unscaled,fix_best_val_loss_batchmean_unscaled,baseline_train_loss_firstN,fix_train_loss_firstN,baseline_run_dir,fix_run_dir
hilbert,0,42,SUCCESS,SUCCESS,imagenette_128__idx-hilbert__k10__p1__s42,imagenette_128__idx-hilbert__k10__p1__s42,20,20,6f3a05ef7b605c6a374cec199a7cafd37c86b4292d50408ad328b7f9d09f3fa1,6f3a05ef7b605c6a374cec199a7cafd37c86b4292d50408ad328b7f9d09f3fa1,0.125,0.1000000014901161,2.289717674255371,2.3026366233825684,3,30,0.125,0.125,2.289717674255371,2.290535449981689,2.302373;2.291734;2.289909,2.303342;2.292429;2.290680,/home/bleon/git/low-depth-image-circuits/.worktrees/baseline_eval/results/baseline_eval/imagenette_128__idx-hilbert__k10__p1__s42/vqc_linear/fold0/seed42,/home/bleon/git/low-depth-image-circuits/results/fix_eval/imagenette_128__idx-hilbert__k10__p1__s42/vqc_linear/fold0/seed42
hilbert,1,42,SUCCESS,SUCCESS,imagenette_128__idx-hilbert__k10__p1__s42,imagenette_128__idx-hilbert__k10__p1__s42,20,20,9c69b92406a84b32120e3279c305c6f6cd4b64cdf641786d9d07b471f7bb63da,9c69b92406a84b32120e3279c305c6f6cd4b64cdf641786d9d07b471f7bb63da,0.125,0.1000000014901161,2.2860140800476074,2.302635908126831,3,30,0.125,0.125,2.2860140800476074,2.290532112121582,2.298267;2.287745;2.286211,2.303341;2.292430;2.290681,/home/bleon/git/low-depth-image-circuits/.worktrees/baseline_eval/results/baseline_eval/imagenette_128__idx-hilbert__k10__p1__s42/vqc_linear/fold1/seed42,/home/bleon/git/low-depth-image-circuits/results/fix_eval/imagenette_128__idx-hilbert__k10__p1__s42/vqc_linear/fold1/seed42
row_major,0,42,SUCCESS,SUCCESS,imagenette_128__idx-row_major__k10__p1__s42,imagenette_128__idx-row_major__k10__p1__s42,20,20,6f3a05ef7b605c6a374cec199a7cafd37c86b4292d50408ad328b7f9d09f3fa1,6f3a05ef7b605c6a374cec199a7cafd37c86b4292d50408ad328b7f9d09f3fa1,0.125,0.1000000014901161,2.2879068851470947,2.302618741989136,3,30,0.125,0.125,2.2879068851470947,2.290536403656006,2.300502;2.289607;2.288061,2.303343;2.292433;2.290679,/home/bleon/git/low-depth-image-circuits/.worktrees/baseline_eval/results/baseline_eval/imagenette_128__idx-row_major__k10__p1__s42/vqc_linear/fold0/seed42,/home/bleon/git/low-depth-image-circuits/results/fix_eval/imagenette_128__idx-row_major__k10__p1__s42/vqc_linear/fold0/seed42
row_major,1,42,SUCCESS,SUCCESS,imagenette_128__idx-row_major__k10__p1__s42,imagenette_128__idx-row_major__k10__p1__s42,20,20,9c69b92406a84b32120e3279c305c6f6cd4b64cdf641786d9d07b471f7bb63da,9c69b92406a84b32120e3279c305c6f6cd4b64cdf641786d9d07b471f7bb63da,0.125,0.1000000014901161,2.2892420291900635,2.302619218826294,3,30,0.125,0.125,2.2892420291900635,2.290533304214477,2.301954;2.291100;2.289427,2.303342;2.292433;2.290679,/home/bleon/git/low-depth-image-circuits/.worktrees/baseline_eval/results/baseline_eval/imagenette_128__idx-row_major__k10__p1__s42/vqc_linear/fold1/seed42,/home/bleon/git/low-depth-image-circuits/results/fix_eval/imagenette_128__idx-row_major__k10__p1__s42/vqc_linear/fold1/seed42
