loss_train,accuracy_train,loss_val,accuracy_val,loss_val_scaled,accuracy_val_sampleweighted
2.308558225631714,0.07692307978868484,2.302079439163208,0.10256410390138626,2.930861711502075,0.10000000149011612
2.3042690753936768,0.0,2.3024823665618896,0.10051281750202179,2.3565759658813477,0.09799999743700027
2.30655837059021,0.0,2.3024933338165283,0.10256410390138626,2.3681838512420654,0.10000000149011612
2.306284189224243,0.0,2.3025026321411133,0.1035897433757782,2.362287998199463,0.10100000351667404
2.3063762187957764,0.0,2.302499771118164,0.10256410390138626,2.3622219562530518,0.10000000149011612
2.3063347339630127,0.0,2.3024933338165283,0.18358974158763885,2.3624684810638428,0.17900000512599945
2.30635142326355,0.0,2.302485227584839,0.1876922994852066,2.3627071380615234,0.18299999833106995
2.30635666847229,0.0,2.302478075027466,0.1035897433757782,2.3626022338867188,0.10100000351667404
2.3063430786132812,0.0,2.3024680614471436,0.1733333319425583,2.362443208694458,0.16899999976158142
2.3063583374023438,0.0,2.3024590015411377,0.1538461595773697,2.3613576889038086,0.15000000596046448
2.3063433170318604,0.0,2.302448034286499,0.1620512753725052,2.360699415206909,0.15800000727176666
2.306328296661377,0.0,2.3024356365203857,0.15487179160118103,2.3604273796081543,0.1509999930858612
