encoding,model,n_total_runs,n_success,success_rate,mean_val_acc,std_val_acc,mean_runtime,stability_score,lps
hilbert,vqc_linear,6,6,1.0,0.11363636363636365,0.0,1198.9878429174423,0.11363636363636365,77.90625
row_major,vqc_linear,6,6,1.0,0.11363636363636365,0.0,1242.421192963918,0.11363636363636365,64.5
