loss_train,accuracy_train,loss_val,accuracy_val,loss_val_scaled,accuracy_val_sampleweighted
2.3085505962371826,0.07692307978868484,2.302079916000366,0.10256410390138626,2.9306821823120117,0.10000000149011612
2.304298162460327,0.0,2.3024940490722656,0.07384615391492844,2.3588409423828125,0.07199999690055847
2.3065834045410156,0.0,2.3025031089782715,0.10256410390138626,2.370299816131592,0.10000000149011612
2.306276798248291,0.0,2.302520275115967,0.10256410390138626,2.3668646812438965,0.10000000149011612
2.3064358234405518,0.0,2.302520751953125,0.10256410390138626,2.364661931991577,0.10000000149011612
2.3063406944274902,0.0,2.3025214672088623,0.10256410390138626,2.365619659423828,0.10000000149011612
2.306377649307251,0.0,2.302520275115967,0.10256410390138626,2.3663134574890137,0.10000000149011612
2.3063690662384033,0.0,2.302521228790283,0.10256410390138626,2.3672025203704834,0.10000000149011612
2.3063769340515137,0.0,2.3025193214416504,0.10769230872392654,2.3682119846343994,0.10499999672174454
2.3063933849334717,0.0,2.3025174140930176,0.10256410390138626,2.368501663208008,0.10000000149011612
2.3063762187957764,0.0,2.3025169372558594,0.10974358767271042,2.368983030319214,0.10700000077486038
2.306401491165161,0.0,2.3025121688842773,0.10256410390138626,2.3686540126800537,0.10000000149011612
