encoding,model,n_total_runs,n_success,success_rate,mean_val_acc,std_val_acc,mean_val_acc_legacy_batchmean_unscaled,std_val_acc_legacy_batchmean_unscaled,legacy_metric_note,mean_runtime,stability_score,lps
corner_spiral,vqc_linear,10,10,1.0,0.13169999999999998,0.059754581414315,0.14964102370998797,0.04780950395097367,legacy comparability only,216.55005512237548,0.13169999999999998,40.5625
column_major,vqc_linear,10,10,1.0,0.1085,0.012483989746871791,0.10379487176736196,0.0015073782695586562,legacy comparability only,117.39844386577606,0.1085,16.5
diagonal_zigzag,vqc_linear,10,10,1.0,0.1534,0.08734208607538521,0.16369230525615888,0.0817200973255868,legacy comparability only,264.31398994922637,0.1534,21.5
morton,vqc_linear,10,10,1.0,0.091,0.008706319543871568,0.10256410256410256,0.0,legacy comparability only,108.01665477752685,0.091,16.5
hilbert,vqc_linear,10,10,1.0,0.0824,0.017934324631833788,0.10256410256410256,0.0,legacy comparability only,108.02737324237823,0.0824,19.625
vertical_snake,vqc_linear,10,10,1.0,0.2322,0.14066826223423676,0.2390769179814901,0.13661249200279363,legacy comparability only,430.6215448617935,0.2322,16.5
diagonal,vqc_linear,10,10,1.0,0.23520000000000002,0.15347625223466985,0.2503589692024084,0.14784283123042669,legacy comparability only,430.8360950231552,0.23520000000000002,21.5
row_major,vqc_linear,10,10,1.0,0.2101,0.1267828458428032,0.22656409826416235,0.12620090400288644,legacy comparability only,326.62934670448305,0.2101,16.5
snake,vqc_linear,10,10,1.0,0.148,0.06701790805448944,0.16194871451992254,0.06048577941779836,legacy comparability only,195.22343986034394,0.148,16.5
