encoding,model,n_total_runs,n_success,success_rate,mean_val_acc,std_val_acc,mean_val_acc_legacy_batchmean_unscaled,std_val_acc_legacy_batchmean_unscaled,legacy_metric_note,mean_runtime,stability_score,lps
hilbert,vqc_linear,4,4,1.0,0.13125,0.011792476415070752,0.10666666428248088,0.0,legacy comparability only,98.4742602109909,0.13125,19.625
row_major,vqc_linear,4,4,1.0,0.18,0.03254804141572884,0.13399999737739562,0.03168595909277895,legacy comparability only,106.6875616312027,0.18,16.5
