encoding,model,n_total_runs,n_success,success_rate,mean_val_acc,std_val_acc,mean_runtime,stability_score,lps
row_major,vqc_linear,1,1,1.0,0.11363636363636365,0.0,1952.8892359733582,0.11363636363636365,64.5
hilbert,vqc_linear,1,1,1.0,0.11363636363636365,0.0,1798.5624215602875,0.11363636363636365,77.90625
