loss_train,accuracy_train,loss_val,accuracy_val,loss_val_scaled,accuracy_val_sampleweighted
2.3043477535247803,0.016042781993746758,2.3025689125061035,0.10101009905338287,2.826634168624878,0.10000000149011612
2.3014607429504395,0.10695187002420425,2.302511692047119,0.11363636702299118,2.372641086578369,0.10000000149011612
2.3022067546844482,0.06611570715904236,2.3025288581848145,0.11868686974048615,2.318073272705078,0.10999999940395355
2.302924394607544,0.0,2.302558660507202,0.11363636702299118,2.315502405166626,0.10000000149011612
2.3031673431396484,0.013774105347692966,2.302567481994629,0.11363636702299118,2.3084373474121094,0.10000000149011612
2.3031234741210938,0.013774105347692966,2.3025567531585693,0.11363636702299118,2.3047420978546143,0.10000000149011612
2.3030285835266113,0.0,2.302544116973877,0.11363636702299118,2.303776979446411,0.10000000149011612
2.302981376647949,0.0,2.3025386333465576,0.11363636702299118,2.3038389682769775,0.10000000149011612
2.302978038787842,0.0,2.302539825439453,0.11363636702299118,2.304046630859375,0.10000000149011612
2.3029887676239014,0.0,2.3025426864624023,0.11363636702299118,2.304140567779541,0.10000000149011612
2.3029961585998535,0.0,2.302544355392456,0.11363636702299118,2.3041515350341797,0.10000000149011612
2.3029978275299072,0.0,2.302544593811035,0.11363636702299118,2.304140329360962,0.10000000149011612
2.302996873855591,0.0,2.302544116973877,0.11363636702299118,2.3041346073150635,0.10000000149011612
2.3029959201812744,0.0,2.302543878555298,0.11363636702299118,2.304135322570801,0.10000000149011612
2.302995443344116,0.0,2.302543878555298,0.11363636702299118,2.304137945175171,0.10000000149011612
2.302995443344116,0.0,2.302544116973877,0.11363636702299118,2.304140090942383,0.10000000149011612
2.302995204925537,0.0,2.302544116973877,0.11363636702299118,2.3041412830352783,0.10000000149011612
